CPU,Bucket_CPU,Data_Gen,Init,Split,Sort,Merge,Total
1,1,0.0127538,9.80403e-06,0.0113042,0.211242,0.00547547,0.228033
1,2,0.011571,1.52756e-05,0.0108092,0.205948,0.00631762,0.223091
1,4,0.0146115,3.42112e-05,0.0141921,0.21926,0.00639379,0.239882
1,8,0.0131234,6.01122e-05,0.0146632,0.208255,0.00628327,0.229264
1,10,0.0132982,7.56234e-05,0.0149289,0.204555,0.00627846,0.22584
1,16,0.0132461,0.000126651,0.0151771,0.196215,0.00634222,0.217864
1,20,0.0131712,0.000496531,0.014323,0.193113,0.00633277,0.214268
1,30,0.0146429,0.000224219,0.0146031,0.186131,0.00629183,0.207252
1,40,0.0132499,0.000311199,0.01504,0.181486,0.00622532,0.203064
2,1,0.00682915,2.01184e-05,0.0188812,0.11543,0.00376225,0.138096
2,2,0.00668636,4.40916e-05,0.024105,0.110104,0.00386903,0.138125
2,4,0.00745096,5.95106e-05,0.0205756,0.104075,0.00360551,0.128318
2,8,0.00704212,0.000125334,0.0226714,0.0983005,0.00371553,0.124814
2,10,0.00691642,0.000150225,0.0243933,0.0965762,0.00348262,0.124605
2,16,0.00743422,0.00023507,0.0182134,0.092713,0.00397746,0.115141
2,20,0.00727116,0.000296125,0.0193928,0.0907407,0.00372415,0.114156
2,30,0.00753476,0.000443887,0.0196043,0.0873806,0.00325982,0.110691
2,40,0.00683755,0.000585511,0.0183567,0.0851623,0.00370116,0.107808
3,1,0.00527617,3.06591e-05,0.0211661,0.0758108,0.00257312,0.0995827
3,2,0.00488182,6.22272e-05,0.0216747,0.071639,0.00248301,0.0958607
3,4,0.00490326,9.98145e-05,0.0222992,0.0675019,0.00247425,0.0923772
3,8,0.00497515,0.000192672,0.0222703,0.0635532,0.00289503,0.0889132
3,10,0.0050015,0.000234726,0.0215691,0.0633154,0.00253746,0.0876588
3,16,0.00490553,0.000347983,0.0207704,0.0599436,0.00272226,0.0837871
3,20,0.00498227,0.000476373,0.018686,0.0583446,0.00254037,0.0800494
3,30,0.00495102,0.000667124,0.0189673,0.0561357,0.00255569,0.078328
3,40,0.004906,0.000865888,0.0187988,0.0546372,0.00266941,0.0769733
4,1,0.00371622,4.40162e-05,0.0219556,0.0552134,0.00198887,0.0792037
4,2,0.00376131,6.38608e-05,0.0228892,0.0520597,0.00210868,0.0771232
4,4,0.00383038,0.000125076,0.0224141,0.0492955,0.00203831,0.0738751
4,8,0.00377709,0.000251483,0.0199326,0.0464221,0.00216867,0.0687766
4,10,0.00463532,0.000655875,0.0188675,0.0454896,0.00194805,0.0669632
4,16,0.00377534,0.000478902,0.0188485,0.0435746,0.00195548,0.0648593
4,20,0.00415605,0.000597368,0.0186222,0.0425885,0.00225309,0.0640642
4,30,0.00473285,0.000900634,0.0186016,0.0408645,0.00206219,0.0624318
4,40,0.0040777,0.00140441,0.0180024,0.0396666,0.00192709,0.0610027
