CPU,Bucket_CPU,Data_Gen,Init,Split,Sort,Merge,Total
4,1,0.0318745,4.99552e-05,1.62659,0.648108,0.0151789,2.28993
4,2,0.0313869,8.58204e-05,1.59093,0.620353,0.0147447,2.22612
4,5,0.0314117,0.000179362,1.59337,0.580158,0.0149915,2.1887
4,10,0.0304838,0.000328744,1.73492,0.550381,0.0151656,2.30081
4,15,0.031251,0.000446864,1.91717,0.534226,0.0152798,2.46713
4,20,0.0316256,0.000585081,1.74198,0.521336,0.0149679,2.27887
4,40,0.0313029,0.00106732,1.42065,0.493322,0.014603,1.92965
4,60,0.0314714,0.00155267,1.93414,0.476463,0.0146368,2.4268
4,100,0.031171,0.00255139,1.84686,0.455647,0.014233,2.3193
4,250,0.031412,0.00505162,1.85509,0.417114,0.0151752,2.29244
4,600,0.0314178,0.0097617,1.80772,0.380637,0.0142976,2.21243
4,1000,0.031354,0.01474,1.80579,0.358999,0.0152746,2.19481
4,1500,0.0313302,0.0212584,1.77238,0.343376,0.0154009,2.15243
4,3500,0.0312333,0.0465895,1.51486,0.306744,0.0159026,1.88411
4,9000,0.0311133,0.0657802,1.73731,0.267493,0.016449,2.08704
4,12000,0.0310283,0.0665754,1.89132,0.255663,0.016425,2.22999
4,25000,0.0316411,0.0706888,1.78676,0.224646,0.0187336,2.10083
4,70000,0.0312002,0.0820664,1.80588,0.183651,0.0204508,2.09206
4,150000,0.0313466,0.0993853,2.3908,0.151073,0.0252716,2.66654
4,250000,0.0315835,0.128252,2.72798,0.124539,0.0307833,3.01157
