size,bandwidth(reg),bandwidth(sync)
1,4.568944,3.533042
6,35.411323,22.323881
11,66.956809,40.194391
16,95.399406,58.233731
21,117.880003,79.475403
26,152.600283,97.261327
31,175.731925,115.825569
36,199.772386,133.790217
41,219.648303,152.621930
46,274.329454,169.835708
51,301.645819,189.147256
86,493.200014,316.427100
147,854.830567,527.578905
250,1447.994265,928.641316
425,2464.671886,1531.930086
724,3900.272652,2521.816051
1231,6434.986617,4110.115834
2092,10854.928263,6164.806023
3557,16806.914199,9887.768604
6047,18978.956381,14120.318068
10281,27428.423728,19806.889725
17478,30109.039337,23548.898860
29713,38613.157661,29110.159873
50513,38086.290570,33142.502877
85872,33788.687980,39680.930392
145983,50066.355495,50746.701068
248172,51932.017564,52902.588251
421892,54274.206869,54319.624943
717217,57589.827346,57649.141636
1219269,56011.790438,56067.781329
2072758,61415.882331,61558.982596
3523688,66713.301275,66890.643165
5990270,58994.647809,59330.876999
10183460,51300.766356,51065.967731
17311882,34254.046283,34719.834659
29430199,34673.589993,34845.494312
