size;bandwidth(reg);bandwidth(sync)
1;0.893633;0.748843
4;3.870579;2.997340
7;6.612269;5.261950
10;9.596970;7.593778
13;12.228297;9.769246
16;15.049354;12.043240
19;17.940629;14.275588
22;20.815944;16.506604
25;23.841512;18.541161
28;26.645866;20.750104
31;28.531060;23.413603
34;32.548462;25.801550
37;34.929400;27.804430
40;37.944563;30.326017
43;40.376413;32.162052
46;42.862021;33.989766
49;45.958651;36.086745
52;48.737234;39.087498
60;56.484520;45.039760
69;63.606124;50.352611
81;74.860089;58.852725
94;83.577318;66.502694
109;95.083137;77.132823
126;109.713742;89.520075
146;126.948860;102.478542
170;147.455382;118.748265
197;167.717081;132.996936
229;189.744503;153.907808
266;215.075681;176.334862
308;245.896964;196.456914
358;280.832241;228.824045
415;323.238046;264.081212
481;369.666548;304.623784
558;425.672669;344.393245
648;484.260290;395.838939
752;552.109065;456.113317
872;634.023194;511.561135
1011;719.634734;587.589187
1173;791.283049;664.939160
1361;895.059445;743.517570
1579;995.673872;848.243495
1832;1131.440786;944.748445
2125;1250.254489;1058.933013
2465;1404.036079;1150.080094
2860;1539.496688;1240.164977
3317;1688.540561;1327.329013
3848;1685.432383;1405.871828
4464;2007.255603;1470.790069
5178;2155.055563;1532.893274
6007;2287.800847;1602.962155
6968;2485.882054;1645.944919
8083;2444.702655;1696.799688
9376;2728.790075;1757.514792
10876;2838.226775;1792.117526
12616;2814.411666;1829.628253
14635;3041.034235;1864.160908
16977;3078.653439;1882.536340
19693;3176.256359;1903.199756
22844;3117.275418;1920.079343
26499;3297.483776;1935.787506
30739;3347.993920;1952.704607
35657;3513.238215;1992.016925
41363;3599.033780;2023.077274
47981;3629.412577;2039.746206
55658;3002.897474;1890.971490
64563;3062.363208;1901.130473
74893;1695.152538;1704.918423
86876;1860.860101;1873.892590
100776;1691.462145;1695.900839
116901;1709.540811;1716.775685
135605;1900.282825;1912.540849
157302;1819.694994;1827.920802
182470;1830.570555;1839.140818
211665;1900.677484;1908.393081
245532;1842.946672;1849.154555
284817;1848.760727;1858.485924
330388;1908.009365;1915.304058
383250;1846.840781;1853.657855
444570;1850.251372;1859.795193
515701;1890.757846;1898.964401
598214;1838.437627;1844.626250
693928;1894.631805;1908.255189
804956;2091.795460;2103.823049
933750;1967.341919;1978.803968
1083150;2020.807230;2041.884869
1256454;1985.675403;1996.980609
1457486;1938.233252;1951.621408
1690684;1922.803320;1941.602263
1961194;1898.491243;1905.012005
2274985;1849.489356;1860.988331
2638982;1799.311232;1807.111804
3061220;1805.935671;1812.295818
3551015;1796.435356;1803.567795
4119177;1756.342760;1761.227365
