size,bandwidth(reg),bandwidth(sync)
1,4.127375,3.629974
6,37.965019,22.329237
11,66.586245,39.914642
16,91.937952,60.400106
21,126.210213,80.686110
26,156.387337,90.918447
31,185.644061,117.676389
36,204.872056,137.064915
41,246.548483,147.738360
46,279.814406,168.833951
51,307.259352,187.799770
86,501.276019,327.029057
147,881.355231,500.134478
250,1389.938855,884.503458
425,2309.759598,1536.307384
724,3862.203624,2548.316333
1231,6771.413271,4034.526946
2092,11291.878797,6424.007847
3557,17948.677438,9782.953297
6047,19433.244327,14410.612306
10281,27788.761571,19704.433657
17478,30812.068343,23112.442373
29713,39448.843225,29493.795138
50513,38418.114185,33745.465042
85872,38212.831867,40913.833655
145983,47694.712612,48288.599836
248172,50102.654863,50561.383807
421892,54981.614732,55200.902411
717217,61340.389760,61560.564210
1219269,56590.856186,56911.947649
2072758,60197.114595,60707.251214
3523688,65305.299371,65518.662114
5990270,59226.907603,59562.287098
10183460,50067.052290,50058.415367
17311882,34898.780941,34929.056967
29430199,34417.270556,34212.855969
