size,bandwidth(reg),bandwidth(sync)
1,0.366830,0.093643
6,2.160571,0.565570
11,4.516740,1.041465
16,5.744753,1.521204
21,7.513447,1.984951
26,9.245968,2.458894
31,10.940263,2.954945
36,12.737322,3.423049
41,14.450834,3.854081
46,16.298449,2.946786
51,17.788483,4.716353
86,43.658517,5.231277
147,51.370633,13.896984
250,122.426088,23.641725
425,195.241317,40.546748
724,332.499322,68.629005
1231,535.313657,116.458914
2092,939.489574,173.555391
3557,1748.805586,290.745171
6047,3959.124188,491.460242
10281,3599.141764,797.952384
17478,4447.366061,1309.284480
29713,5693.816746,2069.719292
50513,6663.686498,3129.785157
85872,7396.034652,4922.792919
145983,4811.104281,4805.776244
248172,5434.270483,5449.261313
421892,6385.414635,6384.372808
717217,6872.033362,6992.446669
1219269,7611.457686,7592.615368
2072758,1380.834466,8025.507429
3523688,8341.423948,6781.028091
5990270,3532.550786,3087.578966
10183460,4203.347624,8627.391314
17311882,3815.062700,3821.199256
29430199,4051.035295,4864.852034
