size;bandwidth(reg);bandwidth(sync)
1;0.355102;0.052844
4;1.405911;0.194062
7;2.409967;0.408135
10;3.603819;0.502576
13;4.568060;0.740365
16;5.352281;0.813176
19;6.382892;1.090099
22;7.309073;1.196635
25;8.474905;1.279509
28;9.427225;1.294935
31;10.121263;1.634757
34;10.551984;1.568434
37;11.227132;1.921668
40;12.120174;2.290885
43;13.115071;2.062369
46;14.043228;2.292711
49;14.541732;2.418188
52;15.281866;2.580955
60;17.491982;3.419821
69;24.155407;3.085420
81;27.156281;4.457290
94;32.394462;3.246690
109;34.641237;4.443134
126;38.096128;4.229452
146;43.782586;5.409196
170;48.307614;3.654431
197;54.293559;4.921463
229;60.974258;9.790461
266;67.929268;10.235091
308;71.887835;16.201928
358;83.095507;15.640618
415;88.849567;15.430219
481;101.994550;25.527257
558;117.984015;23.602608
648;115.713262;28.094410
752;137.464880;28.164949
872;158.247782;38.258664
1011;164.400503;42.436287
1173;190.164413;58.123907
1361;219.533919;51.832677
1579;190.427857;31.689332
1832;248.786762;36.545684
2125;280.342135;44.329318
2465;297.893887;95.650863
2860;313.907077;158.874437
3317;362.456305;183.857606
3848;411.701353;211.037586
4464;465.562795;243.037089
5178;532.475382;278.046584
6007;635.855788;312.775031
6968;718.377741;355.855496
8083;836.477507;407.168247
9376;930.819501;461.534543
10876;1101.802392;520.976119
12616;1232.202965;596.949995
14635;1306.968004;664.075858
16977;1301.255324;740.743644
19693;1341.843607;830.127157
22844;1429.615096;915.701097
26499;1374.563328;1015.555809
30739;1390.136533;1122.967502
35657;1061.383508;821.397743
41363;1162.971970;1020.002338
47981;1226.176523;751.882835
55658;1029.908590;543.793134
64563;733.986825;562.246386
74893;1500.476070;1372.609274
86876;1526.614056;1405.986897
100776;1543.380039;1442.380787
116901;1549.680117;1487.899642
135605;1303.372616;1304.291469
157302;1147.094849;971.256149
182470;851.756958;1320.345798
211665;983.756138;751.597821
245532;1141.543353;1396.902683
284817;1389.413161;1391.765032
330388;976.230900;895.340566
383250;1033.239876;1052.083875
444570;1457.478549;1460.408599
515701;946.251519;993.318754
598214;1154.512042;1519.066430
693928;1388.947931;1199.853025
804956;1317.038089;1217.110821
933750;1431.724240;783.281964
1083150;1433.729409;1347.325713
1256454;1018.936052;1244.125613
1457486;1290.234251;1254.578930
1690684;1287.180551;1253.044333
1961194;1396.505314;1356.420374
2274985;1333.865409;1362.752343
2638982;1152.783702;1201.948957
3061220;1271.503396;1280.238597
3551015;1161.848142;1156.922382
4119177;1183.561618;1176.447287
