size,bandwidth(reg),bandwidth(sync)
1,0.433318,0.022071
6,4.953277,0.260098
11,9.056565,0.569642
16,7.053876,1.025367
21,9.397161,1.336813
26,12.062728,1.661355
31,13.773501,1.986222
36,18.143274,2.307633
41,19.143745,2.620817
46,22.217423,2.901612
51,23.566984,3.270269
86,60.586357,5.513416
147,102.638605,9.430568
250,192.623138,16.050861
425,308.891646,25.552568
724,488.987836,46.233693
1231,967.023105,78.860847
2092,1678.926030,81.063977
3557,3219.909169,140.096576
6047,3866.415427,206.812200
10281,3364.155800,337.176660
17478,2902.957950,560.528918
29713,3090.428375,953.185056
50513,2852.968505,1506.369883
85872,2248.897109,2504.082852
145983,697.019127,163.925929
248172,1636.284072,1704.964389
421892,1826.694635,1814.974187
717217,1729.067906,753.554940
1219269,1268.242985,1455.995928
2072758,1192.358063,1160.855087
3523688,1373.513614,1398.927257
5990270,1321.329304,1352.258082
10183460,1284.028517,1479.263928
17311882,1380.545867,1425.745063
29430199,1423.713729,1347.439874
