size;bandwidth(reg);bandwidth(sync)
1;0.256059;0.018913
4;1.006771;0.084705
7;1.762044;0.272148
10;2.575748;0.526846
13;3.346601;0.753374
16;4.066421;0.938984
19;4.942520;1.122619
22;5.611514;1.297496
25;6.343928;1.472501
28;7.315153;1.659497
31;7.884388;1.816607
34;8.738179;2.015049
37;9.572100;2.165965
40;10.386715;2.357476
43;10.970914;2.532395
46;12.121803;2.708284
49;12.443686;2.849034
52;13.567942;3.071914
60;15.447542;3.555666
69;17.534401;4.041797
81;20.377825;4.779333
94;23.626619;5.503509
109;36.795448;6.340407
126;44.187165;7.358336
146;47.526180;8.550902
170;55.856449;9.929957
197;68.056064;11.477472
229;77.999461;13.294269
266;86.995718;15.479633
308;98.985192;17.960564
358;105.082216;20.783905
415;133.391627;23.983912
481;146.978971;27.792640
558;148.317844;32.299402
648;163.120131;36.828370
752;174.249096;43.611908
872;202.184436;49.858304
1011;224.178178;54.939973
1173;269.670675;63.217155
1361;298.338601;72.509042
1579;336.878404;47.974639
1832;379.224414;38.990995
2125;587.018418;44.789338
2465;649.192207;52.831324
2860;725.321095;81.526646
3317;834.945032;87.640553
3848;942.404818;106.037517
4464;1048.715553;97.419710
5178;1112.129452;112.175794
6007;1384.233354;109.592957
6968;1631.576491;135.652906
8083;1949.072483;145.863218
9376;1620.893954;171.152749
10876;1374.047408;190.330267
12616;1495.762552;215.743567
14635;1202.684062;213.001326
16977;1065.292810;266.195093
19693;1148.153325;269.433498
22844;1400.340608;330.989086
26499;1206.410964;415.979114
30739;1255.521190;341.524563
35657;1308.874022;307.520090
41363;1272.550590;480.700110
47981;1310.170773;549.921703
55658;1465.993953;842.647460
64563;1408.888442;869.875459
74893;1455.710674;957.756493
86876;1467.506985;1046.909215
100776;1470.263531;1102.745839
116901;1187.064341;751.759978
135605;480.400416;275.759319
157302;457.042422;927.952785
182470;1077.360257;1086.414219
211665;1144.602466;1033.890804
245532;1182.671110;987.425173
284817;477.656482;762.403922
330388;958.820598;1020.357268
383250;1240.171253;1009.970518
444570;1048.291835;1231.902676
515701;1095.195188;888.730132
598214;1099.945618;1199.856113
693928;950.005695;1015.364667
804956;1207.548450;1158.032365
933750;1076.202717;1091.412330
1083150;1195.979248;1188.890747
1256454;1194.208736;1206.839562
1457486;1267.004623;1275.591043
1690684;1231.858146;1234.850939
1961194;1259.906711;1267.702374
2274985;1302.490499;1308.846222
2638982;1189.831935;1198.537830
3061220;1242.005494;1236.027309
3551015;1245.064519;1246.197613
4119177;1214.079863;1220.395114
