size;bandwidth(str);bandwidth(bytes)
1;2.708187;0
3;14.760014;2
5;21.845333;4
7;34.189378;6
9;44.086115;8
11;51.912623;10
13;61.351282;12
15;69.808111;14
17;80.115919;16
19;88.179005;18
21;96.791631;19
23;107.039103;21
25;116.995927;23
27;117.353583;25
29;124.275674;27
31;135.441067;29
33;157.286400;31
35;151.340866;34
37;173.395808;35
39;186.946121;36
41;190.808837;39
43;202.931164;40
45;216.635501;42
47;222.120888;44
49;236.230915;44
51;239.339305;47
57;272.450516;54
63;298.999889;59
71;336.492185;65
80;338.079919;73
89;377.063693;80
100;418.384439;89
112;475.107002;99
126;504.517713;112
141;529.214196;125
158;627.408314;141
177;626.490977;155
198;759.288861;170
222;807.051344;189
249;866.706802;204
279;1041.344441;235
312;1145.402930;256
350;1273.758265;282
392;1420.446797;315
439;1565.398050;349
491;1726.962905;386
550;1852.905382;432
617;2200.115254;475
691;2498.503503;532
774;2751.179064;582
867;3071.984429;643
971;3144.918289;695
1087;3710.444312;767
1218;4196.026507;860
1364;4599.823643;920
1527;5255.140273;994
1711;5557.757324;1107
1916;5969.386417;1210
2146;6487.190187;1258
2404;6977.928592;1373
2692;9050.955004;1495
3015;8402.542565;1579
3377;9272.775521;1689
3783;10720.981103;1852
4237;4615.913259;1928
4745;10912.664828;1944
5315;13857.172190;2153
5952;11980.562643;2243
6667;15535.235982;2413
7467;14005.083496;2468
8363;8145.594044;2461
9366;15872.263137;2660
10491;19643.947886;2854
11749;16704.704304;2867
13159;10832.747073;2844
14739;17438.602724;2919
16507;13298.511621;3124
18488;18170.894517;1606
20707;12960.485421;1651
23192;16341.755291;1746
25975;16851.824656;1563
29092;18892.307640;1761
32583;18902.214002;1408
36493;21897.387106;1804
40872;17181.617949;1621
45777;22206.465717;1643
51270;22716.700497;1676
57423;22638.892595;1612
64314;18916.722823;1599
72031;14847.099278;952
80675;18894.421732;954
90356;16507.019425;1479
101199;18941.679946;2010
113343;17289.448498;1459
126944;19266.062761;921
142177;16824.194098;1436
159239;25339.913674;1288
178347;17101.512542;1409
199749;25368.903246;1252
223719;17152.436816;1389
250565;25621.106976;1229
280633;17572.979221;1383
314309;25816.263506;1220
352026;17949.507620;1373
394270;21636.284086;1219
441582;18088.965221;1352
494572;22405.501159;1214
553921;17800.266746;2083
620391;22540.298875;1203
694838;16718.459171;1341
778219;22696.035354;1655
871605;18385.286535;1854
976198;27687.561311;1806
1093342;18564.336139;2070
1224543;22886.003901;1540
1371488;18540.326588;1992
1536067;28331.220221;1670
1720395;18213.588849;1608
1926842;28198.378800;1728
2158063;18749.097840;1780
2417031;28711.046326;1679
2707075;18185.603973;1776
3031924;27014.295911;1753
3395755;17269.608258;1713
3803246;20698.094792;1727
4259635;14592.265248;1767
4770791;14583.871876;1746
