mode,CPU,size,time,pi
regular,1,7,8.77915000916,3.1417112
regular,2,7,6.24206995964,3.1411572
regular,3,7,4.16793203354,3.140656
regular,4,7,3.23689389229,3.1415864
regular,5,7,2.59909582138,3.1416552
regular,6,7,2.23798394203,3.1414992
regular,7,7,2.0019659996,3.1416516
regular,8,7,1.80167293549,3.1416588
regular,9,7,1.55293107033,3.14219
regular,10,7,1.50958395004,3.1417532
regular,11,7,1.31658601761,3.141554
regular,12,7,1.19065093994,3.142524
regular,1,8,88.8661448956,3.14153132
regular,2,8,63.4419951439,3.14163948
regular,3,8,40.7350940704,3.14163208
regular,4,8,31.79925704,3.14175928
regular,5,8,26.5725061893,3.14159312
regular,6,8,22.063229084,3.14141768
regular,7,8,19.4786128998,3.14188444
regular,8,8,18.1778907776,3.14154096
regular,9,8,15.6952619553,3.1417658
regular,10,8,13.8247630596,3.14152268
regular,11,8,12.7896380424,3.14162376
regular,12,8,11.8680799007,3.14154192
regular,1,9,881.449479103,3.141544096
regular,2,9,629.789632082,3.141660096
regular,3,9,421.328487873,3.141657132
regular,4,9,317.192698002,3.141676504
regular,5,9,268.936782837,3.141606708
regular,6,9,221.445600986,3.14162824
regular,7,9,187.689746141,3.141552932
regular,8,9,167.916062832,3.141629924
regular,9,9,143.498067141,3.14157688
regular,10,9,131.848134041,3.1415469
regular,11,9,125.132056952,3.141482744
regular,12,9,116.602552891,3.141538372
